date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
2013-05-01,108659660.293,52443,1542820000.0,139.0,0.0,3575.0,36.80599998,null,
2013-05-02,96958519.0041,55169,1292190000.0,116.38,0.0,3425.0,54.40791613,null,
2013-05-03,84459697.3245,55636,1180070000.0,106.25,0.0,3650.0,48.52677208,null,
2013-05-04,41545844.5296,48595,1089890000.0,98.1,0.0,3900.0,43.41969441,null,
2013-05-05,56205929.5508,49907,1254760000.0,112.9,0.0,3875.0,38.40895622,null,
2013-05-06,78921300.6177,52523,1289470000.0,115.98,0.0,4250.0,51.88924363,null,
2013-05-07,102307623.077,55899,1248470000.0,112.25,0.0,4150.0,43.22493927,null,
2013-05-08,76523058.2263,47555,1219450000.0,109.6,0.0,4125.0,49.5171688,null,
2013-05-09,65430830.1017,66750,1259980000.0,113.2,0.0,4100.0,68.83358453,null,
2013-05-10,79216458.3442,68957,1255970000.0,112.8,0.0,4250.0,61.03773973,null,
2013-05-11,71755641.7394,71712,1311050000.0,117.7,0.0,4475.0,64.7144603,null,
2013-05-12,55128766.4567,67439,1288630000.0,115.64,0.0,4375.0,57.98717092,null,
2013-05-13,65533931.582,60443,1279980000.0,114.82,0.0,4375.0,58.6645122,null,
2013-05-14,79193467.3592,65458,1315720000.0,117.98,0.0,3850.0,56.3462306,null,
2013-05-15,73852227.128,65045,1242760000.0,111.4,0.0,3575.0,48.99999252,null,
2013-05-16,71605810.519,61462,1274620000.0,114.22,0.0,3650.0,58.40010175,null,
2013-05-17,77916539.1255,60388,1319590000.0,118.21,0.0,4050.0,88.12669735,null,
2013-05-18,73842241.1414,48290,1379140000.0,123.5,0.0,3425.0,37.08573213,null,
2013-05-19,54051749.661,50416,1376370000.0,123.21,0.0,4150.0,44.69975431,null,
2013-05-20,53907227.7226,49435,1368910000.0,122.5,0.0,3375.0,48.79896181,null,
2013-05-21,72897395.7123,53176,1363940000.0,122.02,0.0,3550.0,45.73742117,null,
2013-05-22,81312151.2659,52952,1374130000.0,122.89,0.0,4150.0,50.66091818,null,
2013-05-23,75067901.7835,55582,1384780000.0,123.8,0.0,4075.0,53.95741269,null,
2013-05-24,85631206.7127,56521,1413300000.0,126.3,0.0,4125.0,43.30824227,null,
2013-05-25,97944506.6691,54128,1489950000.0,133.1,0.0,4225.0,55.02510239,null,
2013-05-26,47608887.3324,40435,1478030000.0,131.99,0.0,4100.0,31.46608906,null,
2013-05-27,63370027.1111,52244,1495520000.0,133.5,0.0,4500.0,47.29502624,null,
2013-05-28,88677940.2104,55119,1454310000.0,129.77,0.0,3850.0,54.58621312,null,
2013-05-29,87817483.3115,54862,1446190000.0,129.0,0.0,4275.0,52.00668912,null,
2013-05-30,71751533.8995,57928,1483180000.0,132.25,0.0,4375.0,47.80279122,null,
2013-05-31,84137422.5664,56274,1445050000.0,128.8,0.0,4500.0,47.48303138,null,
2013-06-01,57393275.7066,52487,1445800000.0,128.81,0.0,5050.0,39.68031578,null,
2013-06-02,48943212.3714,50171,1451930000.0,129.3,0.0,5100.0,49.71934703,null,
2013-06-03,74752207.0453,52867,1376180000.0,122.5,0.0,5300.0,45.44642277,null,
2013-06-04,75782042.8753,59408,1357020000.0,120.74,0.0,5150.0,64.11903339,null,
2013-06-05,75897109.5125,55162,1365110000.0,121.4,0.0,4900.0,60.92765768,null,
2013-06-06,84057331.2069,55800,1371300000.0,121.9,0.0,4550.0,42.94448631,null,
2013-06-07,77218643.2408,54517,1338880000.0,118.97,0.0,4100.0,40.76889109,null,
2013-06-08,39000432.3427,45646,1249630000.0,111.0,0.0,4025.0,44.05412068,null,
2013-06-09,67382202.6912,46443,1215130000.0,107.89,0.0,4275.0,38.59999691,null,
2013-06-10,47427824.0931,43927,1131570000.0,100.44,0.0,4550.0,34.07402103,null,
2013-06-11,55910459.9703,49796,1198640000.0,106.35,0.0,4475.0,47.35571901,null,
2013-06-12,58102012.4439,45093,1229000000.0,109.0,0.0,4875.0,41.80132413,null,
2013-06-13,55310830.5182,44612,1227030000.0,108.78,0.0,4850.0,39.61784095,null,
2013-06-14,73432833.035,47915,1173060000.0,103.95,0.0,4200.0,37.94265331,null,
2013-06-15,44710829.8275,40041,1128950000.0,100.0,0.0,4525.0,36.50098688,null,
2013-06-16,43401248.0122,40072,1127120000.0,99.8,0.0,4525.0,29.21024324,null,
2013-06-17,52096313.9749,43885,1128720000.0,99.9,0.0,3875.0,35.6994354,null,
2013-06-18,59990408.2618,47281,1152250000.0,101.95,0.0,3625.0,36.92675947,null,
2013-06-19,59871658.6674,45754,1210260000.0,107.05,0.0,3100.0,35.49768977,null,
2013-06-20,70777252.1228,51920,1224210000.0,108.25,0.0,3775.0,66.63940675,null,
2013-06-21,78192714.2511,49830,1259000000.0,111.29,0.0,4250.0,50.88258598,null,
2013-06-22,44194463.6566,44645,1239210000.0,109.5,0.0,4600.0,49.4188564,null,
2013-06-23,33785354.5014,37641,1224980000.0,108.2,0.0,4125.0,36.92735886,null,
2013-06-24,55297292.9535,42878,1222030000.0,107.9,0.0,3550.0,38.58707721,null,
2013-06-25,71810617.2062,45161,1156610000.0,102.09,0.0,3825.0,36.088719,null,
2013-06-26,59575508.9756,45351,1171050000.0,103.33,0.0,4700.0,38.72340514,null,
2013-06-27,54399647.483,46332,1179110000.0,104.0,0.0,4150.0,32.65156561,null,
2013-06-28,56222596.345,48777,1153880000.0,101.74,0.0,4275.0,47.75314975,null,
2013-06-29,51465756.017,37949,1074010000.0,94.66,0.0,3950.0,25.1261887,null,
2013-06-30,35102076.6481,32088,1078260000.0,95.0,0.0,3950.0,30.26636173,null,
2013-07-01,69693364.0165,36031,1107130000.0,97.51,0.0,3950.0,22.29746409,null,
2013-07-02,66987913.3892,40821,1000070000.0,88.05,0.0,3825.0,35.68964129,null,
2013-07-03,66147577.0046,35507,1027160000.0,90.41,0.0,4625.0,29.48523635,null,
2013-07-04,69718355.2372,35434,896693000.0,78.89,0.0,4050.0,22.16351472,null,
2013-07-05,72605725.0026,36450,909526000.0,79.99,0.0,4475.0,33.4891456,null,
2013-07-06,46067871.5028,35431,779255000.0,68.5,0.0,4750.0,30.92358948,null,
2013-07-07,45065104.1387,29566,782352000.0,68.75,0.0,4850.0,17.77253004,null,
2013-07-08,52820328.0864,36817,870912000.0,76.5,0.0,4550.0,31.4434201,null,
2013-07-09,79071191.5932,41049,865585000.0,76.0,0.0,4825.0,35.04585076,null,
2013-07-10,87506401.7328,39922,874138000.0,76.72,0.0,4400.0,26.81968763,null,
2013-07-11,82079602.8047,41158,1003090000.0,88.0,0.0,4775.0,34.60590643,null,
2013-07-12,92748745.5804,48827,1014640000.0,88.98,0.0,4000.0,30.88380562,null,
2013-07-13,80625345.7926,39681,1072140000.0,93.99,0.0,3800.0,34.09145753,null,
2013-07-14,59303891.4571,33651,1126260000.0,98.7,0.0,4100.0,22.1297315,null,
2013-07-15,53011951.3566,36473,1068520000.0,93.61,0.0,4325.0,23.2125662,null,
2013-07-16,87183920.3779,39230,1129260000.0,98.89,0.0,4100.0,34.64459148,null,
2013-07-17,98355720.7235,40548,1104760000.0,96.71,0.0,4250.0,34.35175156,null,
2013-07-18,91390708.1405,41363,1125660000.0,98.5,0.0,4325.0,27.48021325,null,
2013-07-19,71516701.8109,37055,1029670000.0,90.07,0.0,4225.0,32.10967148,null,
2013-07-20,47272636.8494,33811,1052140000.0,92.0,0.0,4675.0,22.96289992,null,
2013-07-21,38996481.4146,35263,1027640000.0,89.82,0.0,4850.0,24.64534852,null,
2013-07-22,76097239.7172,38203,1053000000.0,92.0,0.0,4400.0,22.77125664,null,
2013-07-23,87407488.5534,39152,1048820000.0,91.6,0.0,3575.0,31.28714746,null,
2013-07-24,73335601.2554,40214,1094490000.0,95.56,0.0,3925.0,33.70948583,null,
2013-07-25,69612917.48,42235,1082800000.0,94.5,0.0,3425.0,34.44198333,null,
