Date,DJIA,S&P,NASDAQ
1985-01-29,1277.719971,177.399994,274.799988
1985-01-30,1297.369995,179.179993,278.700012
1985-01-31,1283.23999,179.389999,278.200012
1985-02-01,1276.939941,179.630005,277.899994
1985-02-04,1272.079956,178.630005,278.799988
1985-02-05,1294.060059,180.350006,281.799988
1985-02-06,1284.890015,180.610001,283.799988
1985-02-07,1285.0,180.429993,285.5
1985-02-08,1290.079956,181.820007,287.799988
1985-02-11,1287.98999,182.190002,288.600006
1985-02-12,1271.199951,180.509995,286.299988
1985-02-13,1277.829956,180.559998,286.700012
1985-02-14,1301.790039,183.350006,289.100006
1985-02-15,1289.199951,182.41000400000001,288.100006
1985-02-19,1279.810059,181.600006,286.600006
1985-02-20,1280.150024,181.330002,286.700012
1985-02-21,1280.369995,181.179993,287.200012
1985-02-22,1277.939941,180.190002,286.899994
1985-02-25,1269.98999,179.360001,284.700012
1985-02-26,1276.280029,179.229996,284.0
1985-02-27,1285.670044,181.169998,285.299988
1985-02-28,1278.050049,180.71000700000002,283.700012
1985-03-01,1285.339966,181.179993,285.100006
1985-03-04,1299.910034,183.229996,287.600006
1985-03-05,1290.079956,182.059998,287.299988
1985-03-06,1291.849976,182.229996,286.899994
1985-03-07,1276.829956,180.649994,283.899994
1985-03-08,1273.410034,179.509995,282.399994
1985-03-11,1268.77002,179.100006,281.899994
1985-03-12,1267.560059,178.78999299999998,280.899994
1985-03-13,1270.97998,179.66000400000001,281.0
1985-03-14,1258.719971,178.190002,277.0
1985-03-15,1259.719971,177.83999599999999,277.5
1985-03-18,1252.650024,176.529999,278.299988
1985-03-19,1249.01001,176.880005,277.200012
1985-03-20,1271.530029,179.53999299999998,279.0
1985-03-21,1263.800049,179.080002,279.100006
1985-03-22,1272.420044,179.350006,279.299988
1985-03-25,1261.699951,179.03999299999998,277.700012
1985-03-26,1257.069946,177.970001,276.299988
1985-03-27,1260.160034,178.429993,277.100006
1985-03-28,1265.900024,179.53999299999998,278.299988
1985-03-29,1263.469971,179.53999299999998,278.299988
1985-04-01,1264.800049,180.66000400000001,279.5
1985-04-02,1273.959961,181.270004,280.899994
1985-04-03,1264.689941,180.529999,279.299988
1985-04-04,1256.290039,179.110001,277.399994
1985-04-08,1259.5,179.029999,277.0
1985-04-09,1252.209961,178.029999,276.399994
1985-04-10,1256.849976,178.21000700000002,277.700012
1985-04-11,1265.23999,179.419998,280.100006
1985-04-12,1263.689941,180.190002,280.399994
1985-04-15,1262.589966,180.53999299999998,280.700012
1985-04-16,1268.109985,180.919998,281.600006
1985-04-17,1269.660034,181.199997,282.899994
1985-04-18,1278.819946,181.679993,283.899994
1985-04-19,1265.130005,180.83999599999999,282.700012
1985-04-22,1269.77002,181.110001,282.399994
1985-04-23,1265.349976,180.699997,281.399994
1985-04-24,1279.48999,181.880005,283.100006
1985-04-25,1276.829956,182.259995,283.100006
1985-04-26,1286.219971,183.429993,284.700012
1985-04-29,1272.859985,182.179993,283.600006
1985-04-30,1256.73999,180.630005,281.100006
1985-05-01,1257.180054,179.830002,280.5
1985-05-02,1244.369995,178.369995,279.299988
1985-05-03,1243.709961,179.009995,279.299988
1985-05-06,1246.910034,180.080002,280.399994
1985-05-07,1248.22998,179.990005,280.200012
1985-05-08,1248.670044,180.759995,280.899994
1985-05-09,1251.880005,180.619995,281.899994
1985-05-10,1268.98999,181.919998,285.299988
1985-05-13,1277.609985,184.279999,288.0
1985-05-14,1281.469971,184.610001,288.399994
1985-05-15,1271.199951,183.869995,287.799988
1985-05-16,1276.719971,184.53999299999998,288.700012
1985-05-17,1276.829956,185.66000400000001,290.100006
1985-05-20,1298.949951,187.419998,294.0
1985-05-21,1305.0,189.720001,293.899994
1985-05-22,1305.219971,189.639999,293.299988
1985-05-23,1301.75,188.559998,292.899994
1985-05-24,1295.469971,187.600006,291.799988
1985-05-28,1305.329956,188.28999299999998,292.100006
1985-05-29,1300.959961,187.860001,290.700012
1985-05-30,1306.449951,187.679993,290.600006
1985-05-31,1302.76001,187.75,289.899994
1985-06-03,1321.23999,189.550003,291.399994
1985-06-04,1310.599976,189.320007,290.299988
1985-06-05,1320.560059,190.03999299999998,291.700012
1985-06-06,1317.199951,189.75,291.100006
1985-06-07,1329.640015,191.059998,291.899994
1985-06-10,1314.290039,189.679993,290.5
1985-06-11,1319.0,189.509995,291.299988
1985-06-12,1312.050049,189.03999299999998,290.100006
1985-06-13,1302.199951,187.610001,288.799988
1985-06-14,1297.380005,185.330002,286.899994
1985-06-17,1298.949951,187.100006,287.5
1985-06-18,1299.400024,186.529999,287.899994
1985-06-19,1304.77002,187.33999599999999,288.299988
1985-06-20,1296.709961,186.630005,287.799988
1985-06-21,1297.27002,186.729996,287.5
1985-06-24,1315.079956,188.770004,288.399994
1985-06-25,1322.689941,189.149994,291.100006
1985-06-26,1320.680054,189.740005,293.0
1985-06-27,1325.939941,190.059998,294.399994
1985-06-28,1334.119995,191.229996,295.600006
1985-07-01,1334.01001,191.850006,295.899994
1985-07-02,1335.459961,192.429993,297.0
1985-07-03,1331.77002,192.009995,297.0
