weeks,M,T,W,R,F,Sa,Su,target,bins
1,-0.022263436896376554,0.007468915938354748,0.08039005232870977,-0.0293300757918038,-0.028104487850715287,-0.019321168007115475,-0.010174071846387633,-0.058086980205943384,0.0
2,-0.058086980205943384,-0.00223101852783536,0.029704255986034767,-0.008916128782640698,-0.023202744138181686,-0.04160459530705918,-0.09000162747132734,-0.026266445923006643,0.0
3,-0.026266445923006643,0.031324925246202895,0.0165954968161941,0.04829755173869188,0.0332856030573323,-0.009159258370095458,0.003436586271558184,0.04136834035811798,4.0
4,0.04136834035811798,0.03579062831952928,0.0233733882084044,-0.016184389840382174,-0.03026703749991988,0.00318234269557216,0.018776875841703067,-0.005183993457352543,1.0
5,-0.005183993457352543,-0.017650897036952884,0.009620980880630015,-0.00820726750331957,-0.06575331159513542,5.574161852450743e-05,-0.031510959005768946,0.02076219139675839,4.0
6,0.02076219139675839,-0.004412520270236087,0.010908094265216661,-0.06174026166522495,0.027325754383403122,-0.01860340439954289,-0.03783965488580954,-0.0015530323071688557,1.0
7,-0.0015530323071688557,0.004878017342551999,0.010707816801692083,0.026189996677874916,0.03006274765352046,-0.022152094498382624,0.009372794182918476,0.047742330706454617,4.0
8,0.047742330706454617,0.009866503387965686,0.005799602700965245,0.14938104089560067,-0.020944652820928944,-0.045889374721867604,-0.06438335305849563,0.03569862129016066,4.0
9,0.03569862129016066,-0.001453344646911603,-0.036473399463569756,0.017001166512090826,-0.06078390483785956,-0.017689381167284246,0.004458097133215766,0.03825649237178386,4.0
10,0.03825649237178386,0.02672257411332435,-0.0023030113639714855,-0.01478082532257119,-0.0030492186888908535,0.018183676357962142,-0.001708209649383896,0.007267561766020947,3.0
11,0.007267561766020947,0.0026429278241302256,0.006496937453595031,-0.01585372828346543,-0.016845106103267504,0.019606666802142847,-0.005111793786515939,0.0003440833024574985,2.0
12,0.0003440833024574985,-0.03547859350615301,-0.02714072857714811,-0.022583825798387025,0.018680819840182217,0.004402661085930681,-0.016175312713237133,0.013276464247468311,4.0
13,0.013276464247468311,-0.016320909144113216,-0.055976571915236306,-0.02186777363987602,-0.027280643175686237,0.020484249162748824,0.03685432967221747,-0.026053926252790127,0.0
14,-0.026053926252790127,0.03353324950154679,0.007106887249727301,-0.03685366943254209,-0.009771880823605805,0.02607397910721332,-0.035493055290523046,0.004862227058985091,3.0
15,0.004862227058985091,-0.015805649726062576,-0.005788654720611852,0.03016309161490227,-0.02003486297852408,0.0024390773408402566,-0.11320956267214655,-0.0588272796524798,0.0
16,-0.0588272796524798,0.035308708189782934,0.04090546970472264,0.02777788824684979,-0.04077458827592917,0.017273147961525126,-0.04519280582578755,-0.031299618119827066,0.0
17,-0.031299618119827066,0.004678255641441531,-0.1775505588300934,-0.23560505292170042,0.16710149835293286,-0.005929473454831857,-0.03817233384581886,0.05552048984489222,4.0
18,0.05552048984489222,0.006767601106812293,-0.007207412962669579,0.07271951266594545,0.026887330078810834,-0.003504813617175806,0.061062386147535896,0.026832779040199206,4.0
19,0.026832779040199206,0.0724380778813245,-0.03659550797118172,-0.12095686097314928,-0.002471484943105118,-0.027575047755107107,-0.0432001179854522,0.04342091493155742,4.0
20,0.04342091493155742,0.04726870365951896,-0.04277530178701294,0.0006766218234988131,-0.04833274918438324,0.025982187565094073,0.022473541783890383,-0.019083517447674225,0.0
21,-0.019083517447674225,-0.014006147574320948,-0.002499935434758349,-0.0023875803674755502,0.012516686626207196,0.05929209690362125,0.08921705912809585,-0.09220631837792492,0.0
22,-0.09220631837792492,-0.005992581763786475,0.04341821378431021,-0.030698572384166845,0.016116636567374165,0.01446707156113014,0.0032439654899274473,-0.03558467918629038,0.0
23,-0.03558467918629038,0.012644590706189618,-0.00045199712835941597,-0.006522093408201535,-0.003803517994032113,0.06976515181131049,0.0030051085191624693,0.02360590724642897,4.0
24,0.02360590724642897,0.05488457312166162,0.02493325380643263,-0.033356228595671666,0.010435215651658503,-0.012068173958978079,0.01508614064604874,-0.005881256414001612,1.0
25,-0.005881256414001612,0.053317676470013176,0.00572079717170304,0.01566271881278425,-0.00680737887849947,-0.033451767627967754,-0.01066337753055624,0.015023858631836084,4.0
26,0.015023858631836084,0.017040750415666217,-0.019206357400335605,-0.10801558712555259,0.019643183620880578,0.002633059279002481,-0.006622528519977244,0.030232753132800383,4.0
27,0.030232753132800383,-0.004931954184987042,-0.074365673154281,-0.004844582000328224,0.009255517400410973,-0.006421238471372881,0.023074170889216816,-0.03979794340902654,0.0
28,-0.03979794340902654,0.018661317238579223,-0.013142914945282413,0.011666844851196956,0.023933339987090463,0.004797324695366534,-0.0020863934800852135,0.027058013686913185,4.0
29,0.027058013686913185,-0.02111341481385587,-0.008695084518163476,-0.033401005601836786,-0.004328055911495099,-0.03201371513341389,0.0021965806767783036,-0.0024762999786380746,1.0
30,-0.0024762999786380746,-0.04859117506635613,-0.025623731914238057,0.021870480259773117,0.020588892188678543,-0.025352023115596367,0.002702152002601821,-0.0037841540684642183,1.0
31,-0.0037841540684642183,0.008979717530836595,0.047733898652904116,-0.006596402125285117,0.008157122736417222,-0.020270168790651688,-0.021086981116506642,-0.03131881029927186,0.0
32,-0.03131881029927186,0.04255787467459449,-0.014862958497760204,0.00045199919625105167,0.04439763814134512,-0.015367142821800961,0.010868633688307483,0.02304640339101116,4.0
33,0.02304640339101116,-0.006277035914105333,-0.01095783025961694,-0.028277628032459923,0.032311833410444635,0.02730053394243903,-0.008403762741315823,-0.00593331588701318,1.0
34,-0.00593331588701318,0.00765277217363014,-0.0030897338843445254,-0.02170880793472474,0.0031320631520301845,0.0029034847754996207,-0.006899587081372616,0.0037090488104691843,3.0
35,0.0037090488104691843,-0.01638595251884567,-0.004934135131386519,0.009126397743857595,0.0055610205424505565,0.020879324458715764,-0.005466739618817051,0.008130871232594039,3.0
36,0.008130871232594039,-0.01599511102469897,-0.00016450674588419645,0.0008095850837968044,0.0005056317153764311,-0.0012013599956244292,-0.01683056690206719,-0.012525815167606424,0.0
37,-0.012525815167606424,-0.03239553963623454,0.012669830760735579,0.00015951434072114523,-0.007192306907564117,0.0037892995377548644,0.0026231115398829274,-0.012116743612703651,0.0
38,-0.012116743612703651,0.025073457894505324,0.001997675197054072,-0.0006115496652405739,0.003707287932860126,0.0009355279442173625,0.010909322211019479,0.0042072254982654655,3.0
39,0.0042072254982654655,0.014220122466782392,0.057679419311198465,-0.005577230783474718,-0.0015447040327716266,-0.01828757161805772,0.0023283183288729248,-0.004625171565717068,1.0
40,-0.004625171565717068,0.012051611038187637,-0.010769467026163326,-0.01616466527897753,0.009271878726763383,0.0038876369792850696,0.029955510272470676,-0.008941889975892181,1.0
41,-0.008941889975892181,0.03288443751798287,0.024248767704531105,-0.01836812141095301,-0.01203491489558317,0.004031637479815053,0.016679410228265468,0.03874429804459645,4.0
42,0.03874429804459645,-0.00423231212683195,-0.014856342204810247,0.018051607356556865,-0.006189066424991729,0.056776897068366416,0.02858230524847105,0.05858611266902258,4.0
43,0.05858611266902258,-0.062366250865014905,-0.01375346051122861,-0.006978137845105259,-0.028190216172384375,0.004449028032702529,-0.016473978555240798,-0.004625518568015963,1.0
44,-0.004625518568015963,0.0194907738921275,-0.011631327450753126,0.0060904204234297765,-0.0048288072080815425,0.043110766367972175,0.001650522863434034,0.013759505964194396,4.0
45,0.013759505964194396,0.003390879815613701,0.0028940281839471282,-0.01844168718215844,-0.0048785998719464985,-0.010517579683386735,-0.014994927989813611,0.0083692421261512,3.0
46,0.0083692421261512,-0.005606068190589397,0.012797059338102379,-0.010378438031654724,-0.011290678825669254,0.0035847396255537234,-0.06890302257863734,0.016567221882979766,4.0
47,0.016567221882979766,-0.00428820628050719,0.023390538017936002,-0.016450200403142823,-0.0077351582169562505,0.005275095918344519,-0.013891121372649806,-0.01297594129335966,0.0
48,-0.01297594129335966,-0.0021842671048846185,-0.13359449411025626,0.0054267847834079674,0.036590002217476325,-0.011508226099437913,-0.009873982366308987,-0.009876050702849248,1.0
49,-0.009876050702849248,-0.0824054819078599,0.05558842913695905,0.01773654337130992,-0.005985579650918282,0.030020849559718954,-0.007168796575277803,-0.003403012796263205,1.0
50,-0.003403012796263205,0.004972032849567043,-0.009727708101107346,0.005671860268121165,-0.009239184375868348,0.013047485760043998,0.020087974349529247,0.021331762229874762,4.0
51,0.021331762229874762,-0.0003668889956678356,0.01477075531484573,-0.02108633826987738,-2.9387515712464563e-05,0.006382506353335593,-0.0194197689015283,-0.019891178838545187,0.0
52,-0.019891178838545187,-0.0005074376460587615,-0.0010504968948099602,-0.0051118314496969575,0.019218148010345715,-0.002843157386824835,-0.006285332437097502,-0.0007868599900175965,2.0
53,-0.0007868599900175965,-0.01854322403839781,0.017327219664849736,-0.0025060082885142165,0.01723229929961345,0.003041954611691544,-0.003993892870228777,-0.005580651478871879,1.0
54,-0.005580651478871879,0.026196181618102443,-0.009990525663708283,-0.0026912491765767044,0.005324733390343894,-0.00026139702246474883,0.005587224143491554,-0.0016111634093354255,1.0
55,-0.0016111634093354255,0.009266290048532966,0.023867913337935143,-0.012652320694736652,-0.0023765583092583142,0.005108636864425087,0.00410250689642222,0.008677524849946217,3.0
56,0.008677524849946217,-0.006807943828239793,0.017356650826108044,0.010422738081503624,0.008645381778331185,0.032692663734840366,0.030584010289506303,-0.033961838461188165,0.0
57,-0.033961838461188165,0.0065127432161284915,0.021521738262128665,-0.010489037937308154,0.026486974156998855,0.010379064396498272,0.01771179130839773,0.007726417180117906,3.0
58,0.007726417180117906,0.00546057774587716,0.029444996466316375,0.035523876887983086,0.03111847871108342,0.04536192715916609,-0.04198481804134069,0.03413088088696181,4.0
59,0.03413088088696181,0.10457387437883003,0.1092895683757309,0.010873021056053034,-0.05032941370913413,-0.03615163630008755,0.026391465747227727,-0.026244542121572678,0.0
60,-0.026244542121572678,0.015007424353725263,-0.11171308399927682,-0.07877150779673858,0.07487356409618151,-0.005551582888245754,-0.01067094327381568,-0.04080313559914561,0.0
61,-0.04080313559914561,0.03269654213089712,0.012725806052734434,0.0002569926844175896,-0.02501446446071487,-0.013320107133724335,0.015046483656644405,-0.008060535567643079,1.0
62,-0.008060535567643079,-0.0041275074542737045,-0.009234039177035136,0.02547533833675608,0.06929919864701084,0.014894448077269473,0.0009263588397816491,0.03832230388433544,4.0
63,0.03832230388433544,0.015963431504028236,-0.04212678471552689,-0.006971993524386377,0.005359484915937962,0.006783674724960775,0.06861793183162401,0.0010852755353401022,3.0
64,0.0010852755353401022,0.014702481464005324,0.046137847356606976,0.008522092321555874,-0.006497326747597398,0.08546762188359924,-0.046784785264215145,0.003727462629146139,3.0
65,0.003727462629146139,0.024184016397580166,0.04693490497370689,-0.022677428089040497,0.0023499874824999267,0.016761378896101853,-0.0028472970530231123,-0.042867231801031025,0.0
66,-0.042867231801031025,-0.01227362322048986,-0.0016381610495290744,0.014482913564370925,0.026203537698448187,0.001978893888325395,-0.0900375112200491,0.016262600767134927,4.0
67,0.016262600767134927,-0.00294519885093969,0.026192805440835798,-0.017284425070294596,0.011314691299898705,0.009016141228666008,-0.0024049907596843667,-0.0081446470322728,1.0
68,-0.0081446470322728,0.006969997938085726,-0.0028048970999918765,-0.004281414357380164,0.06204917106344876,-0.00912269420007572,-0.011412877093459173,0.001025694225146978,3.0
69,0.001025694225146978,-0.0011506356570611942,-0.03062377537554184,-0.0054836212532745066,-0.004713951112002235,-0.16428073968883172,0.05872007333265383,-0.014095984854641586,0.0
70,-0.014095984854641586,0.013770460234598936,-0.01900509513795079,0.09989132882707441,-0.0238284352915219,-0.06899361200662923,0.014712102695777496,0.035972134380469534,4.0
71,0.035972134380469534,-0.02597332275426556,0.001126874351792928,0.006861454854548477,-0.03879987861045908,-0.0032755134226301053,-0.0015108897142228628,-0.02392430477189489,0.0
72,-0.02392430477189489,0.009619234069015548,0.0046176151565395784,-0.012008374363168706,0.049343929070065684,-0.005955039418096497,-0.026406832342734887,0.0006451357065255792,2.0
73,0.0006451357065255792,-0.008888552031730335,0.00726551919404006,0.01574167478309807,-0.006374421530398244,0.012965799825920499,0.021326178384580174,0.03657118602691156,4.0
74,0.03657118602691156,-0.015169601151224121,0.015385524628575453,0.021635597982077925,0.014674409186962833,-0.0026743034207719063,0.03764113405782066,0.002773853671581783,3.0
75,0.002773853671581783,-0.0016734435468261921,-0.040272643255158336,0.009647892469867081,-0.0009603515700504772,0.01914996716172812,-0.0006193018514597526,0.002002229278526002,3.0
76,0.002002229278526002,0.0102806400425699,-0.006382213678801207,-0.02612130690097736,-0.0049092453160000105,-0.026556370164541043,-0.025284068821528116,0.01789521020644802,4.0
77,0.01789521020644802,0.01631714051705302,-0.0013785908885299847,0.002051502098877833,0.0059953856827128504,0.010412063661140891,-0.023900243301206103,0.006182697165090012,3.0
78,0.006182697165090012,0.0052661811877241504,0.0012000827097100597,0.0023982655731931146,0.006340371569147685,-0.02719333309022076,0.0027718282938247185,0.007324452307801543,3.0
79,0.007324452307801543,-0.0006920573844713118,0.012099424275846538,0.0006287466348258164,-0.004589639269560131,0.0020554552458564856,0.0018552258039301606,0.019908573387596107,4.0
80,0.019908573387596107,-0.005274767478589126,-0.01776204946655291,-0.003790517817516381,0.003612961362035705,0.003979944921914225,0.006553199677823862,0.00029913634802358757,2.0
81,0.00029913634802358757,-0.000669613322136442,0.007729827094260067,-0.0015662200956718664,-0.001684487705301052,-0.004968513809452624,-0.0029009792519349986,0.0054191374277507975,3.0
82,0.0054191374277507975,0.002298949189363242,0.0065741763137170395,-0.00399496045143799,0.0011598917800643704,0.012056347111804477,0.002466777431277656,-0.007049268110642437,1.0
83,-0.007049268110642437,0.002550493389898101,0.015326214436252705,0.013897114570811553,0.01856627479415973,-0.008546755970543884,0.010484022782094371,0.018822547142987922,4.0
84,0.018822547142987922,0.00548892135072343,0.009944975294811087,-0.04658803458234928,0.009771480557541068,0.012757432158019277,-0.014815544552785553,0.007660943274962584,3.0
85,0.007660943274962584,-0.016073381457929692,0.012193609586335086,-0.007742347018736773,0.002751877649718182,0.025777687682330352,-0.002636019790627664,-0.0004865448281261564,2.0
86,-0.0004865448281261564,0.005033102179092808,-0.02118618076490808,0.0035048363446525954,0.005297098142818868,0.0021368644199730724,-0.00014040426431183306,0.004000675391700348,3.0
87,0.004000675391700348,-0.007847814765390204,-0.0007006566232341527,0.0018343172845920463,-0.03750449526189925,0.011746830795947183,0.0005686945592220383,-0.00876992745249705,1.0
88,-0.00876992745249705,0.011187927848314239,0.0039782633219447305,0.008060438721695817,0.00852314473287219,0.04211511431430104,0.10894856306326162,0.001882703117003004,3.0
89,0.001882703117003004,0.010765466936814683,-0.0057899154802907304,0.010131050512343975,0.0021727717266157853,0.057851392478690755,0.006304351627270499,0.0022545453538223015,3.0
90,0.0022545453538223015,0.018694643958007795,-0.014240614928678674,0.00868755047219505,-0.010994598197927807,0.004914707170330601,0.05220152630728059,0.09680249046395772,4.0
91,0.09680249046395772,0.04775073378939343,-0.027075713174035343,0.015682493607275028,0.0983228174795121,-0.02601050938758309,0.010537862006193777,0.009521238097268458,3.0
92,0.009521238097268458,-0.03740110421591414,-0.09990913153485703,-0.10850313168151615,0.04601237592924079,0.06153827083562913,0.0009765898055063005,-0.05650015641293571,0.0
93,-0.05650015641293571,0.0446739691077207,-0.02147175618508701,-0.005496970698184889,0.04863324593350793,0.006253860741229467,0.04087413813873564,-0.06772634302735625,0.0
94,-0.06772634302735625,0.036374698053902144,-0.01889934907317148,0.011378619113695976,-0.05673748208621188,0.03932345871762166,-0.023972563484444542,-0.0032561304483804676,1.0
95,-0.0032561304483804676,-0.0003099847499425934,0.025154366123049776,-0.018022561185058628,0.009523851569341879,0.006969268068806045,-0.0026973316743452713,0.02655695409163883,4.0
96,0.02655695409163883,-0.01045599071581016,0.00010115462557003241,-0.011327191538945236,-0.00046014359264479054,-0.021581053381790838,0.0071722701607397354,0.008890689904085924,3.0
97,0.008890689904085924,-0.010698765331457416,-0.0039805435649560295,0.004387034497620235,0.0009453537191639327,0.002897597652025574,-0.002914460584803713,-0.047673228219234254,0.0
98,-0.047673228219234254,-0.029579788321881573,-0.10006318031460548,0.031703482087407586,0.02088477574653691,-0.005637656298891791,0.02191514567181052,0.008411735290078326,3.0
99,0.008411735290078326,-0.0028687893055368008,-0.005752209234193728,0.007587965049418166,-0.005632984741102298,-0.0024503228893459905,-0.0030146440894958104,-0.02611547407214232,0.0
100,-0.02611547407214232,-0.005714935610549254,0.0183725142681892,-0.007041503377736014,0.0011010344296646934,0.003033660452258502,0.010112220297188834,-0.0010798230148747479,1.0
101,-0.0010798230148747479,0.009348764739224968,-0.005741013627198477,-0.005555215861355656,-0.004191962035083208,0.0029364480725533326,-0.016744773629354448,0.007414953614893527,3.0
102,0.007414953614893527,7.495307828442321e-05,0.0060380036766263245,-0.003546818983776845,-0.0054637212887858055,0.005479309842511881,0.03924215423484245,0.017224896054655936,4.0
103,0.017224896054655936,-0.004087240957310279,0.006683267410414473,0.006630754706642428,0.01888388546958808,-0.005483157249829063,0.0007975426202744273,-0.026689846297956343,0.0
104,-0.026689846297956343,0.0016790025189141744,0.0013411157912148752,0.0028652937929312117,-0.005488513920184346,-4.603512370060514e-05,-0.0015409928063450096,0.005900506734237254,3.0
105,0.005900506734237254,-0.0010121095911657108,-0.009343436372694747,-0.01050754000406684,-0.0018098654934108893,0.011278054339409316,-0.0003516202043876149,-0.0032271329909061564,1.0
106,-0.0032271329909061564,0.011937257950900282,-0.0029301566630604015,-0.0020210317074500495,0.0011497902454342679,0.006932960192357562,0.00656764756629169,-0.0048656166465832484,1.0
107,-0.0048656166465832484,0.0017726353880034296,-0.0030009496205405384,0.003683614408022784,0.0002252917889586925,0.007696344259723986,0.0029615464427257265,-0.0038025731474613522,1.0
