weeks,M,T,W,R,F,Sa,Su,target,bins
1,0.008364876664827214,-0.0007935913193630739,-0.0006949615430871248,0.007519526910137131,0.005896881952601518,0.0,0.0,0.0,2.0
2,0.0,0.0013709265422967576,-0.004413325458837214,-0.0031502290897709173,-0.007124520713840177,0.0,0.0,-0.010180714893913034,0.0
3,-0.010180714893913034,0.0004012136442925751,0.009183514332288034,0.005845402230419516,0.0010859753305325626,0.0,0.0,0.004332450758898432,3.0
4,0.004332450758898432,0.0005893036362785153,0.0022559374435546786,0.006931919419156607,0.0021382163950720567,0.0,0.0,0.011871036304095028,4.0
5,0.011871036304095028,0.001725470078794089,-0.00258935648023062,0.001151660390477538,0.0022992728820936392,0.0,0.0,0.00601057964677576,3.0
6,0.00601057964677576,0.0040818416369114985,-0.0005685397724315422,0.0035953961088157627,-0.0010394520484062753,0.0,0.0,-0.0037889028939934732,1.0
7,-0.0037889028939934732,-0.0024705637334312414,-0.003908341125910653,-0.0009555567128316511,0.004483262190319692,0.0,0.0,0.001236477085815757,3.0
8,0.001236477085815757,0.002278817935831512,0.005013954901047057,0.0034854258376171288,0.004878105426668888,0.0,0.0,0.00289676417530238,3.0
9,0.00289676417530238,0.0036324727434244863,0.004637797101292307,0.0029569325499005927,0.0,0.0,0.0,0.0045109949913051395,3.0
10,0.0045109949913051395,-0.00018376814224119187,0.002110807005907489,0.005576647343890073,0.0024584305463841716,0.0,0.0,0.001817236528390609,3.0
11,0.001817236528390609,-0.005735415525482956,-9.132161780112114e-05,0.004282280797617943,0.0063440850804585835,0.0,0.0,0.003967140736131469,3.0
12,0.003967140736131469,0.005026534257297044,0.0060698301578865355,0.0008005693546779824,-0.0014237055134493914,0.0,0.0,-0.008495512716562459,1.0
13,-0.008495512716562459,0.0037647858146927504,-0.0008055225426240042,-0.005567061208885171,-0.003608104188458583,0.0,0.0,-0.004619382211307865,1.0
14,-0.004619382211307865,0.0016328014942397218,0.0003624920664409004,0.0016295494744058558,0.0017171588940021465,0.0,0.0,-0.014461992015138314,0.0
15,-0.014461992015138314,-0.006894993863630461,-0.0006459650361483327,0.0035936366212458992,0.0011949902658194844,0.0,0.0,-0.003958213921236187,1.0
16,-0.003958213921236187,-0.008521707817694235,0.00027902153498793325,0.0006507600376179923,0.006022737742275908,0.0,0.0,0.0,2.0
17,0.0,0.0057111705662897805,0.006317788691150739,0.006006051387813294,0.003984096088865741,0.0,0.0,0.0009032427431030499,2.0
18,0.0009032427431030499,-0.006703576180279391,-0.0020926808246031214,0.002456194104767384,0.0012712160358772095,0.0,0.0,-0.005733255078281374,1.0
19,-0.005733255078281374,-0.0019184128574973869,0.0007312705892887905,0.0,-0.011764822872192049,0.0,0.0,-0.015466664127421481,0.0
20,-0.015466664127421481,-0.009528842414906258,0.004728588434884884,0.003578879297554849,0.0017845775562967958,0.0,0.0,-0.0010328248660673722,1.0
21,-0.0010328248660673722,0.007207444568766874,0.005394878578200313,0.006195959967055131,0.0027618872533583527,0.0,0.0,0.0,2.0
22,0.0,0.0042202447958095135,0.007115510611076736,0.0037199698117280633,0.00442783893868981,0.0,0.0,0.0029709137046918244,3.0
23,0.0029709137046918244,-0.004324295026798097,-0.0037992447671237883,0.003438029308453494,-0.006705942543796084,0.0,0.0,-0.005561901580395379,1.0
24,-0.005561901580395379,0.003832802577979244,-0.0004555459490047653,-0.0018241249212733734,0.0008212438370147623,0.0,0.0,-0.002557303488793572,1.0
25,-0.002557303488793572,-0.007158602589121266,-0.010369531075204108,-0.015380581154291306,-0.005116564249179945,0.0,0.0,0.003035182170961548,3.0
26,0.003035182170961548,-0.011238137323521968,-0.011075395792437881,-0.001453709591854313,0.006476875075592581,0.0,0.0,-0.005798228487321033,1.0
27,-0.005798228487321033,-0.0013577637554922362,0.010042581359225089,0.010798489895159413,0.002183746406934084,0.0,0.0,0.022692009458027407,4.0
28,0.022692009458027407,0.009871374913996256,-0.004969649492639228,-0.003511990654528674,-0.0011116536526376564,0.0,0.0,0.0034235795483272824,3.0
29,0.0034235795483272824,0.00313562924075228,0.0022993802230191207,0.00110185485898473,0.003023798464252714,0.0,0.0,-0.0054126456127621125,1.0
30,-0.0054126456127621125,-0.002671221631711518,0.0021191697247582297,0.002849108113352372,0.009317725133833221,0.0,0.0,0.0,2.0
31,0.0,0.004988409918191827,0.0004522907206929716,-0.00027132455574285785,-0.0011766756972590997,0.0,0.0,-0.0018128812153852536,1.0
32,-0.0018128812153852536,-0.004091137158499514,0.00018221898558579142,-9.110534232359413e-05,0.002910671550714561,0.0,0.0,-0.00099959117777626,2.0
33,-0.00099959117777626,-0.0015467725348274897,-0.007586545299813174,-0.0017447545555420163,0.0007349687945694683,0.0,0.0,-0.006449824346659305,1.0
34,-0.006449824346659305,0.0018470360143023612,0.002027846626044827,0.003951675462874782,0.005031829815272282,0.0,0.0,0.003461759841053791,3.0
35,0.003461759841053791,0.0002727801827244747,0.006253720533171858,0.002706877010926867,-0.0021649385951532096,0.0,0.0,-0.00027093249573173495,2.0
36,-0.00027093249573173495,0.0018049368431602986,-0.0019855782159154955,-0.007435643448226337,-0.0024605197520459754,0.0,0.0,-0.004939185106353605,1.0
37,-0.004939185106353605,-0.009859559434951315,-0.013142716090552398,0.0002814297084841044,0.0017806292736146645,0.0,0.0,-0.004786737662268337,1.0
38,-0.004786737662268337,-0.005660917009191024,-0.01343072046878735,0.0021074919291308447,0.005725187448543778,0.0,0.0,-0.013506560994959393,0.0
39,-0.013506560994959393,-0.001447676726591851,0.014097581631848932,0.005223889924845793,-0.000947768068497723,0.0,0.0,-0.00028449903119653897,2.0
40,-0.00028449903119653897,0.0027468736061777577,-0.00816796251412466,-0.010738387036623998,0.0016374287151181832,0.0,0.0,-0.004533424560923649,1.0
41,-0.004533424560923649,0.002606779160888806,-0.000675186914246062,-0.0019315922466427438,-0.004748349465043766,0.0,0.0,-0.011331527045042478,0.0
42,-0.011331527045042478,-0.014646506331193798,0.0008968562207449793,0.0,0.012274921435370345,0.0,0.0,0.014068256573252391,4.0
43,0.014068256573252391,0.00859700042146816,0.009857944549485076,0.010892856833003783,0.010402605210532379,0.0,0.0,-0.003174939635915308,1.0
44,-0.003174939635915308,0.003174939635915308,0.004186608877430054,0.0024109989423912737,0.007749803561376112,0.0,0.0,0.003211508901339144,3.0
45,0.003211508901339144,-0.0008248545429445642,0.0034779186184437094,0.0051034923724149195,0.004625183979297454,0.0,0.0,0.008828117989366113,3.0
46,0.008828117989366113,0.0020606825095157433,0.002145713793379578,-0.0002679558731406573,0.0,0.0,0.0,-0.002146352112427863,1.0
47,-0.002146352112427863,0.0020569966836756493,0.005701574465536652,0.003547055224032647,0.010128247042671568,0.0,0.0,-0.004126984736976702,1.0
48,-0.004126984736976702,0.0024606568135840945,0.007868566495124796,0.007720697544334243,0.0028476698218886654,0.0,0.0,0.0004307129059446524,2.0
49,0.0004307129059446524,0.004640388209643298,0.0022266258997030164,-0.004114560922252153,0.0027448979791460104,0.0,0.0,0.0016262425086708276,3.0
50,0.0016262425086708276,0.006223678280342426,-0.0017864578704323009,-0.0011074414528877696,-0.0009380549058564114,0.0,0.0,-0.006161773960563721,1.0
51,-0.006161773960563721,-0.0016323299228542254,0.0007735270421056484,0.008384751310145155,0.00907515644735124,0.0,0.0,0.003623964110609279,3.0
52,0.003623964110609279,0.005955135947776746,0.007415147401619748,0.0015759385840343754,0.004795329529779124,0.0,0.0,-0.0008251423955076831,2.0
53,-0.0008251423955076831,0.0017320223934689238,0.006652777962960599,0.004492146184842838,0.00122166403596502,0.0,0.0,-0.0048955629159674885,1.0
54,-0.0048955629159674885,0.0028586534410779407,0.0060172323611036305,0.0007293974957685023,-0.0003240965783666283,0.0,0.0,0.0,2.0
55,0.0,-0.0008106931775442305,0.002511021488493803,0.0031501096153450092,0.00667126207971247,0.0,0.0,0.0008808103883577445,2.0
56,0.0008808103883577445,0.003515463845453759,0.007231755657801209,0.002293677571081787,0.004807512040455819,0.0,0.0,0.00541025354424729,3.0
57,0.00541025354424729,-0.00039102890643771815,0.004449072701178558,0.0034986391372591186,-0.0023310266150256,0.0,0.0,-0.009457313872210271,1.0
58,-0.009457313872210271,0.003058041364816688,0.0032047238651831123,-0.002891659283369208,0.001876597685027015,0.0,0.0,-0.003756723611052948,1.0
59,-0.003756723611052948,-0.014214848731772811,0.004998209382038432,0.008039737543859893,0.0013337467163667682,0.0,0.0,7.835835495217935e-05,2.0
60,7.835835495217935e-05,0.0012535492132483839,-0.0014887524786928452,0.004771785209395141,0.0,0.0,0.0,-0.0006245199339343088,2.0
61,-0.0006245199339343088,0.005606625871879878,0.009428936110725594,0.0070519839008929,0.006699210473692041,0.0,0.0,-0.00030359690856673893,2.0
62,-0.00030359690856673893,0.005374164323448838,0.005270280250607051,-0.0008263532127283924,0.006143774407075142,0.0,0.0,-0.0010462596781986022,1.0
63,-0.0010462596781986022,0.0026881810185566124,-0.010645673710027559,0.0013557884434813872,0.001128326010230829,0.0,0.0,-0.008380261539784328,1.0
64,-0.008380261539784328,-0.00806884213576975,0.0006112622579834692,0.0006871836440778267,0.0024396368253283285,0.0,0.0,-0.008948761183691367,1.0
65,-0.008948761183691367,-0.006319928549984866,-0.004416666743376929,0.0011641430849120837,0.00394809893731729,0.0,0.0,-0.006277858538544123,1.0
66,-0.006277858538544123,-0.0223279406675454,0.007840056120762107,0.009265141873408211,0.011577929602217374,0.0,0.0,0.006928921453910775,3.0
