DATE,DGS1
1962-01-02,3.22
1962-01-03,3.24
1962-01-04,3.24
1962-01-05,3.26
1962-01-08,3.31
1962-01-09,3.32
1962-01-10,3.33
1962-01-11,3.33
1962-01-12,3.30
1962-01-15,3.32
1962-01-16,3.30
1962-01-17,3.30
1962-01-18,3.27
1962-01-19,3.27
1962-01-22,3.25
1962-01-23,3.25
1962-01-24,3.24
1962-01-25,3.27
1962-01-26,3.28
1962-01-29,3.28
1962-01-30,3.28
1962-01-31,3.29
1962-02-01,3.300
1962-02-02,3.300
1962-02-05,3.290
1962-02-06,3.290
1962-02-07,3.290
1962-02-08,3.300
1962-02-09,3.280
1962-02-12,.
1962-02-13,3.280
1962-02-14,3.310
1962-02-15,3.330
1962-02-16,3.330
1962-02-19,3.320
1962-02-20,3.310
1962-02-21,3.280
1962-02-22,.
1962-02-23,3.240
1962-02-26,3.220
1962-02-27,3.230
1962-02-28,3.210
1962-03-01,3.150
1962-03-02,3.170
1962-03-05,3.180
1962-03-06,3.180
1962-03-07,3.140
1962-03-08,3.110
1962-03-09,3.120
1962-03-12,3.130
1962-03-13,3.110
1962-03-14,3.100
1962-03-15,3.100
1962-03-16,3.060
1962-03-19,3.030
1962-03-20,3.020
1962-03-21,3.010
1962-03-22,2.940
1962-03-23,2.940
1962-03-26,2.950
1962-03-27,2.950
1962-03-28,2.960
1962-03-29,2.960
1962-03-30,2.970
1962-04-02,2.950
1962-04-03,2.930
1962-04-04,2.880
1962-04-05,2.890
1962-04-06,2.890
1962-04-09,2.900
1962-04-10,2.940
1962-04-11,3.000
1962-04-12,3.000
1962-04-13,3.000
1962-04-16,3.000
1962-04-17,3.000
1962-04-18,3.000
1962-04-19,3.000
1962-04-20,.
1962-04-23,3.030
1962-04-24,3.080
1962-04-25,3.080
1962-04-26,3.040
1962-04-27,3.070
1962-04-30,3.070
1962-05-01,3.060
1962-05-02,3.060
1962-05-03,3.050
1962-05-04,3.050
1962-05-07,3.040
1962-05-08,3.010
1962-05-09,3.010
1962-05-10,2.990
1962-05-11,3.000
1962-05-14,3.000
1962-05-15,3.040
1962-05-16,3.040
1962-05-17,3.060
1962-05-18,3.050
1962-05-21,3.050
1962-05-22,3.050
1962-05-23,3.040
1962-05-24,3.020
1962-05-25,3.010
1962-05-28,2.980
1962-05-29,2.970
1962-05-30,.
1962-05-31,2.990
1962-06-01,2.980
1962-06-04,2.980
1962-06-05,2.970
1962-06-06,2.950
1962-06-07,2.950
1962-06-08,2.940
1962-06-11,2.950
1962-06-12,2.940
1962-06-13,2.940
1962-06-14,3.000
1962-06-15,3.000
1962-06-18,3.030
1962-06-19,3.060
1962-06-20,3.040
1962-06-21,3.040
1962-06-22,3.040
1962-06-25,3.120
1962-06-26,3.140
1962-06-27,3.140
1962-06-28,3.180
1962-06-29,3.200
1962-07-02,3.210
1962-07-03,3.230
1962-07-04,.
1962-07-05,3.210
1962-07-06,3.230
1962-07-09,3.260
1962-07-10,3.270
1962-07-11,3.260
1962-07-12,3.270
1962-07-13,3.270
1962-07-16,3.280
1962-07-17,3.340
1962-07-18,3.360
1962-07-19,3.330
1962-07-20,3.320
1962-07-23,3.320
1962-07-24,3.320
1962-07-25,3.320
1962-07-26,3.320
1962-07-27,3.320
1962-07-30,3.330
1962-07-31,3.330
1962-08-01,3.300
1962-08-02,3.260
1962-08-03,3.270
1962-08-06,3.260
1962-08-07,3.280
1962-08-08,3.280
1962-08-09,3.280
1962-08-10,3.280
1962-08-13,3.260
1962-08-14,3.240
1962-08-15,3.200
1962-08-16,3.190
1962-08-17,3.180
1962-08-20,3.170
1962-08-21,3.170
1962-08-22,3.140
1962-08-23,3.130
1962-08-24,3.120
1962-08-27,3.110
1962-08-28,3.100
1962-08-29,3.100
1962-08-30,3.120
1962-08-31,3.140
1962-09-03,.
1962-09-04,3.150
1962-09-05,3.160
1962-09-06,3.090
1962-09-07,3.100
1962-09-10,3.080
1962-09-11,3.070
1962-09-12,3.050
1962-09-13,3.060
1962-09-14,3.060
1962-09-17,3.030
1962-09-18,3.050
1962-09-19,3.040
1962-09-20,3.030
1962-09-21,3.040
1962-09-24,3.040
1962-09-25,3.040
1962-09-26,3.020
1962-09-27,3.020
1962-09-28,3.020
1962-10-01,3.000
1962-10-02,2.990
1962-10-03,2.980
1962-10-04,2.970
1962-10-05,2.970
1962-10-08,2.990
1962-10-09,2.990
1962-10-10,2.980
1962-10-11,2.980
1962-10-12,.
1962-10-15,2.970
1962-10-16,2.960
1962-10-17,2.960
1962-10-18,2.960
1962-10-19,2.940
1962-10-22,2.960
1962-10-23,2.990
1962-10-24,2.990
1962-10-25,2.990
1962-10-26,2.970
1962-10-29,2.970
1962-10-30,2.970
1962-10-31,2.970
1962-11-01,2.970
1962-11-02,3.000
1962-11-05,3.000
1962-11-06,.
1962-11-07,2.990
1962-11-08,2.970
1962-11-09,2.970
1962-11-12,.
1962-11-13,2.980
1962-11-14,2.990
1962-11-15,2.990
1962-11-16,3.000
1962-11-19,3.020
1962-11-20,3.010
1962-11-21,3.000
1962-11-22,.
1962-11-23,3.010
1962-11-26,3.020
1962-11-27,3.030
1962-11-28,3.040
1962-11-29,3.030
1962-11-30,3.020
1962-12-03,3.030
1962-12-04,3.040
1962-12-05,3.030
1962-12-06,3.000
1962-12-07,3.000
1962-12-10,2.990
1962-12-11,2.990
1962-12-12,2.990
1962-12-13,3.000
1962-12-14,2.990
1962-12-17,3.000
1962-12-18,3.000
1962-12-19,3.000
1962-12-20,2.990
1962-12-21,2.990
1962-12-24,2.980
1962-12-25,.
1962-12-26,2.990
1962-12-27,3.010
1962-12-28,3.050
1962-12-31,3.050
1963-01-01,.
1963-01-02,3.040
1963-01-03,3.020
1963-01-04,3.050
1963-01-07,3.070
1963-01-08,3.060
1963-01-09,3.020
1963-01-10,3.010
1963-01-11,3.010
1963-01-14,3.010
1963-01-15,3.010
1963-01-16,3.010
1963-01-17,3.010
1963-01-18,3.030
1963-01-21,3.050
1963-01-22,3.060
1963-01-23,3.060
1963-01-24,3.070
1963-01-25,3.060
1963-01-28,3.050
1963-01-29,3.060
1963-01-30,3.060
1963-01-31,3.030
1963-02-01,3.030
1963-02-04,3.020
1963-02-05,3.020
1963-02-06,3.010
1963-02-07,2.980
1963-02-08,2.980
1963-02-11,2.990
1963-02-12,.
1963-02-13,3.000
1963-02-14,3.000
1963-02-15,3.000
1963-02-18,2.990
1963-02-19,3.020
1963-02-20,3.010
1963-02-21,3.010
1963-02-22,.
1963-02-25,3.030
1963-02-26,3.040
1963-02-27,3.040
1963-02-28,3.020
1963-03-01,3.000
1963-03-04,2.980
1963-03-05,2.980
1963-03-06,2.990
1963-03-07,2.980
1963-03-08,3.000
1963-03-11,3.010
1963-03-12,3.000
1963-03-13,3.000
1963-03-14,2.990
1963-03-15,3.000
1963-03-18,3.020
1963-03-19,3.040
1963-03-20,3.060
1963-03-21,3.060
1963-03-22,3.060
1963-03-25,3.080
1963-03-26,3.100
1963-03-27,3.110
1963-03-28,3.110
1963-03-29,3.090
1963-04-01,3.100
1963-04-02,3.090
1963-04-03,3.080
1963-04-04,3.070
1963-04-05,3.070
1963-04-08,3.090
1963-04-09,3.090
1963-04-10,3.110
1963-04-11,3.110
1963-04-12,.
1963-04-15,3.140
1963-04-16,3.150
1963-04-17,3.150
1963-04-18,3.140
1963-04-19,3.140
1963-04-22,3.140
1963-04-23,3.140
1963-04-24,3.140
1963-04-25,3.120
1963-04-26,3.120
1963-04-29,3.110
1963-04-30,3.110
1963-05-01,3.110
1963-05-02,3.100
1963-05-03,3.100
1963-05-06,3.100
1963-05-07,3.080
1963-05-08,3.090
1963-05-09,3.090
1963-05-10,3.090
1963-05-13,3.090
1963-05-14,3.090
1963-05-15,3.080
1963-05-16,3.080
1963-05-17,3.100
1963-05-20,3.120
1963-05-21,3.120
1963-05-22,3.110
1963-05-23,3.110
1963-05-24,3.150
1963-05-27,3.160
1963-05-28,3.210
1963-05-29,3.200
1963-05-30,.
1963-05-31,3.200
1963-06-03,3.280
1963-06-04,3.240
1963-06-05,3.220
1963-06-06,3.200
1963-06-07,3.190
1963-06-10,3.170
1963-06-11,3.180
1963-06-12,3.180
1963-06-13,3.180
1963-06-14,3.190
1963-06-17,3.190
1963-06-18,3.200
1963-06-19,3.200
1963-06-20,3.180
1963-06-21,3.180
1963-06-24,3.190
1963-06-25,3.200
1963-06-26,3.190
1963-06-27,3.190
1963-06-28,3.190
1963-07-01,3.220
1963-07-02,3.280
1963-07-03,3.310
1963-07-04,.
1963-07-05,3.350
1963-07-08,3.450
1963-07-09,3.510
1963-07-10,3.510
1963-07-11,3.520
1963-07-12,3.520
1963-07-15,3.530
1963-07-16,3.540
1963-07-17,3.600
1963-07-18,3.550
1963-07-19,3.530
1963-07-22,3.540
1963-07-23,3.550
1963-07-24,3.520
1963-07-25,3.480
1963-07-26,3.460
1963-07-29,3.480
1963-07-30,3.500
1963-07-31,3.500
1963-08-01,3.480
1963-08-02,3.470
1963-08-05,3.480
1963-08-06,3.480
1963-08-07,3.510
1963-08-08,3.510
1963-08-09,3.510
1963-08-12,3.520
1963-08-13,3.520
1963-08-14,3.530
1963-08-15,3.530
1963-08-16,3.540
1963-08-19,3.530
1963-08-20,3.540
1963-08-21,3.560
1963-08-22,3.560
1963-08-23,3.570
1963-08-26,3.570
1963-08-27,3.580
1963-08-28,3.580
1963-08-29,3.580
1963-08-30,3.590
1963-09-02,.
1963-09-03,3.590
1963-09-04,3.570
1963-09-05,3.580
1963-09-06,3.580
1963-09-09,3.580
1963-09-10,3.570
1963-09-11,3.570
1963-09-12,3.570
1963-09-13,3.580
1963-09-16,3.580
1963-09-17,3.590
1963-09-18,3.580
1963-09-19,3.570
1963-09-20,3.560
1963-09-23,3.560
1963-09-24,3.560
1963-09-25,3.560
1963-09-26,3.570
1963-09-27,3.570
1963-09-30,3.590
1963-10-01,3.590
1963-10-02,3.590
1963-10-03,3.580
1963-10-04,3.590
1963-10-07,3.610
1963-10-08,3.620
1963-10-09,3.610
1963-10-10,3.600
1963-10-11,3.600
1963-10-14,3.610
1963-10-15,3.610
1963-10-16,3.620
1963-10-17,3.650
1963-10-18,3.700
1963-10-21,3.700
1963-10-22,3.700
1963-10-23,3.700
1963-10-24,3.670
1963-10-25,3.660
1963-10-28,3.660
1963-10-29,3.680
1963-10-30,3.680
1963-10-31,3.680
1963-11-01,3.690
