Date,Open,High,Low,Close,Volume,Adj Close
2017-04-18,20561.390625,20600.119141,20462.279297,20523.279297,263180000,20523.279297
2017-04-17,20484.75,20644.410156,20484.75,20636.919922,229240000,20636.919922
2017-04-13,20561.689453,20612.269531,20453.25,20453.25,235810000,20453.25
2017-04-12,20637.949219,20642.539062,20553.029297,20591.859375,267670000,20591.859375
2017-04-11,20644.320312,20660.029297,20512.560547,20651.300781,255120000,20651.300781
2017-04-10,20668.220703,20750.330078,20614.859375,20658.019531,230480000,20658.019531
2017-04-07,20647.810547,20726.070312,20606.949219,20656.099609,219730000,20656.099609
2017-04-06,20653.769531,20746.460938,20612.169922,20662.949219,251720000,20662.949219
2017-04-05,20745.060547,20887.50,20639.550781,20648.150391,284980000,20648.150391
2017-04-04,20634.939453,20701.289062,20605.300781,20689.240234,237390000,20689.240234
2017-04-03,20665.169922,20692.339844,20517.820312,20650.210938,285670000,20650.210938
2017-03-31,20700.339844,20722.589844,20660.679688,20663.220703,303770000,20663.220703
2017-03-30,20662.789062,20753.779297,20643.599609,20728.490234,270900000,20728.490234
2017-03-29,20675.75,20684.730469,20625.029297,20659.320312,238320000,20659.320312
2017-03-28,20542.140625,20735.609375,20520.099609,20701.50,299670000,20701.50
2017-03-27,20488.349609,20578.460938,20412.800781,20550.980469,269380000,20550.980469
2017-03-24,20674.449219,20718.330078,20529.669922,20596.720703,292980000,20596.720703
2017-03-23,20645.070312,20757.890625,20618.619141,20656.580078,280050000,20656.580078
2017-03-22,20640.419922,20686.210938,20578.949219,20661.300781,325090000,20661.300781
2017-03-21,20956.330078,20970.039062,20653.259766,20668.009766,369320000,20668.009766
2017-03-20,20916.269531,20955.449219,20885.699219,20905.859375,253610000,20905.859375
2017-03-17,20965.369141,20980.509766,20911.070312,20914.619141,535280000,20914.619141
2017-03-16,20969.269531,21000.109375,20893.50,20934.550781,264360000,20934.550781
2017-03-15,20874.779297,20977.470703,20859.599609,20950.099609,306590000,20950.099609
2017-03-14,20848.599609,20874.00,20786.310547,20837.369141,246820000,20837.369141
2017-03-13,20899.279297,20926.060547,20845.710938,20881.480469,289260000,20881.480469
2017-03-10,20919.009766,20940.289062,20827.660156,20902.980469,315430000,20902.980469
2017-03-09,20864.320312,20900.570312,20777.160156,20858.189453,275960000,20858.189453
2017-03-08,20940.439453,20951.439453,20835.580078,20855.730469,296780000,20855.730469
2017-03-07,20934.890625,20970.539062,20901.259766,20924.759766,274630000,20924.759766
2017-03-06,20955.710938,20986.429688,20912.109375,20954.339844,266620000,20954.339844
2017-03-03,21008.75,21039.960938,20953.859375,21005.710938,254420000,21005.710938
2017-03-02,21128.910156,21129.199219,20996.609375,21002.970703,319910000,21002.970703
2017-03-01,20957.289062,21169.109375,20957.289062,21115.550781,392820000,21115.550781
2017-02-28,20833.880859,20841.240234,20781.210938,20812.240234,339210000,20812.240234
2017-02-27,20808.710938,20851.330078,20774.759766,20837.439453,256540000,20837.439453
2017-02-24,20751.910156,20821.759766,20733.949219,20821.759766,292540000,20821.759766
2017-02-23,20817.210938,20840.699219,20746.410156,20810.320312,302110000,20810.320312
2017-02-22,20715.410156,20781.589844,20692.390625,20775.599609,310530000,20775.599609
2017-02-21,20663.429688,20757.640625,20663.369141,20743.00,336880000,20743.00
2017-02-17,20564.130859,20624.050781,20532.609375,20624.050781,340620000,20624.050781
2017-02-16,20627.310547,20639.869141,20556.830078,20619.769531,354120000,20619.769531
2017-02-15,20504.269531,20620.449219,20496.029297,20611.859375,384380000,20611.859375
2017-02-14,20374.220703,20504.410156,20374.019531,20504.410156,356580000,20504.410156
2017-02-13,20338.539062,20441.480469,20322.949219,20412.160156,314620000,20412.160156
2017-02-10,20211.230469,20298.210938,20204.759766,20269.369141,312230000,20269.369141
2017-02-09,20061.730469,20206.359375,20061.730469,20172.400391,325310000,20172.400391
2017-02-08,20049.289062,20068.279297,20015.330078,20054.339844,280410000,20054.339844
2017-02-07,20107.619141,20155.349609,20068.679688,20090.289062,279670000,20090.289062
2017-02-06,20025.609375,20094.949219,20002.810547,20052.419922,281720000,20052.419922
2017-02-03,19964.210938,20081.480469,19964.210938,20071.460938,344220000,20071.460938
2017-02-02,19858.339844,19922.75,19831.089844,19884.910156,347220000,19884.910156
2017-02-01,19923.810547,19967.730469,19845.990234,19890.939453,426670000,19890.939453
2017-01-31,19913.160156,19918.169922,19784.769531,19864.089844,373750000,19864.089844
2017-01-30,20028.619141,20028.619141,19870.390625,19971.130859,317280000,19971.130859
2017-01-27,20103.359375,20115.970703,20072.640625,20093.779297,343130000,20093.779297
2017-01-26,20076.25,20125.580078,20067.529297,20100.910156,356730000,20100.910156
2017-01-25,19994.480469,20082.00,19994.480469,20068.509766,372240000,20068.509766
2017-01-24,19794.679688,19949.240234,19786.710938,19912.710938,374460000,19912.710938
2017-01-23,19794.789062,19833.980469,19732.359375,19799.849609,326690000,19799.849609
2017-01-20,19795.060547,19843.939453,19759.140625,19827.25,435260000,19827.25
2017-01-19,19813.550781,19824.140625,19677.939453,19732.400391,301750000,19732.400391
2017-01-18,19822.730469,19828.199219,19739.00,19804.720703,279760000,19804.720703
2017-01-17,19848.820312,19882.990234,19775.349609,19826.769531,341900000,19826.769531
2017-01-13,19912.539062,19952.029297,19849.380859,19885.730469,263780000,19885.730469
2017-01-12,19926.210938,19929.289062,19770.470703,19891.00,306290000,19891.00
2017-01-11,19887.380859,19973.419922,19833.160156,19954.279297,336150000,19954.279297
2017-01-10,19876.349609,19957.119141,19836.029297,19855.529297,299410000,19855.529297
2017-01-09,19931.410156,19943.779297,19887.380859,19887.380859,287060000,19887.380859
2017-01-06,19906.960938,19999.630859,19834.080078,19963.800781,277700000,19963.800781
2017-01-05,19924.560547,19948.599609,19811.119141,19899.289062,269920000,19899.289062
2017-01-04,19890.939453,19956.140625,19878.830078,19942.160156,280010000,19942.160156
2017-01-03,19872.859375,19938.529297,19775.929688,19881.759766,339180000,19881.759766
2016-12-30,19833.169922,19852.550781,19718.669922,19762.599609,271910000,19762.599609
2016-12-29,19835.460938,19878.439453,19788.939453,19819.779297,172040000,19819.779297
2016-12-28,19964.310547,19981.109375,19827.310547,19833.679688,188350000,19833.679688
2016-12-27,19943.460938,19980.240234,19939.800781,19945.039062,158540000,19945.039062
2016-12-23,19908.609375,19934.150391,19899.060547,19933.810547,158260000,19933.810547
2016-12-22,19922.679688,19933.830078,19882.189453,19918.880859,258290000,19918.880859
2016-12-21,19968.970703,19986.560547,19941.960938,19941.960938,256640000,19941.960938
2016-12-20,19920.589844,19987.630859,19920.419922,19974.619141,284080000,19974.619141
2016-12-19,19836.660156,19917.779297,19832.949219,19883.060547,302310000,19883.060547
2016-12-16,19909.009766,19923.169922,19821.00,19843.410156,573470000,19843.410156
2016-12-15,19811.50,19951.289062,19811.50,19852.240234,357350000,19852.240234
2016-12-14,19876.130859,19966.429688,19748.669922,19792.529297,408430000,19792.529297
2016-12-13,19852.210938,19953.75,19846.449219,19911.210938,388420000,19911.210938
2016-12-12,19770.199219,19824.589844,19747.740234,19796.429688,333660000,19796.429688
2016-12-09,19631.349609,19757.740234,19623.189453,19756.849609,334470000,19756.849609
2016-12-08,19559.939453,19664.970703,19527.830078,19614.810547,324570000,19614.810547
2016-12-07,19241.990234,19558.419922,19229.830078,19549.619141,385200000,19549.619141
2016-12-06,19219.910156,19255.890625,19184.740234,19251.779297,284960000,19251.779297
2016-12-05,19244.349609,19274.849609,19186.730469,19216.240234,317800000,19216.240234
2016-12-02,19161.25,19196.140625,19141.179688,19170.419922,84920000,19170.419922
2016-12-01,19149.199219,19214.300781,19138.789062,19191.929688,108800000,19191.929688
2016-11-30,19135.640625,19225.289062,19123.380859,19123.580078,164570000,19123.580078
2016-11-29,19064.070312,19144.400391,19062.220703,19121.599609,81510000,19121.599609
2016-11-28,19122.140625,19138.720703,19072.25,19097.900391,88460000,19097.900391
2016-11-25,19093.720703,19152.140625,19093.720703,19152.140625,45890000,19152.140625
2016-11-23,19015.519531,19083.759766,19000.380859,19083.179688,77880000,19083.179688
2016-11-22,18970.390625,19043.900391,18962.820312,19023.869141,85310000,19023.869141
2016-11-21,18898.679688,18960.759766,18883.099609,18956.689453,80520000,18956.689453
2016-11-18,18905.330078,18915.740234,18853.830078,18867.929688,109880000,18867.929688
2016-11-17,18866.220703,18904.029297,18845.269531,18903.820312,89940000,18903.820312
2016-11-16,18909.849609,18909.849609,18825.890625,18868.140625,87320000,18868.140625
2016-11-15,18858.210938,18925.259766,18806.060547,18923.060547,100660000,18923.060547
2016-11-14,18876.769531,18934.050781,18815.75,18868.689453,112250000,18868.689453
2016-11-11,18781.650391,18855.779297,18736.960938,18847.660156,107300000,18847.660156
2016-11-10,18603.140625,18873.660156,18603.140625,18807.880859,164390000,18807.880859
2016-11-09,18317.259766,18650.060547,18252.550781,18589.689453,173110000,18589.689453
2016-11-08,18251.380859,18400.50,18200.75,18332.740234,79820000,18332.740234
2016-11-07,17994.640625,18263.300781,17994.640625,18259.599609,93450000,18259.599609
2016-11-04,17928.349609,17986.759766,17883.560547,17888.279297,97760000,17888.279297
2016-11-03,17978.75,18006.960938,17904.070312,17930.669922,77860000,17930.669922
2016-11-02,18017.720703,18044.150391,17931.890625,17959.640625,88610000,17959.640625
2016-11-01,18158.240234,18177.009766,17940.839844,18037.099609,101280000,18037.099609
2016-10-31,18176.599609,18193.679688,18130.580078,18142.419922,110080000,18142.419922
2016-10-28,18193.789062,18257.060547,18094.970703,18161.189453,107850000,18161.189453
2016-10-27,18234.810547,18253.199219,18149.199219,18169.679688,83530000,18169.679688
2016-10-26,18103.800781,18236.039062,18062.300781,18199.330078,86340000,18199.330078
2016-10-25,18206.519531,18241.689453,18151.699219,18169.269531,83190000,18169.269531
2016-10-24,18197.140625,18275.039062,18191.179688,18223.029297,88540000,18223.029297
2016-10-21,18152.630859,18168.759766,18049.769531,18145.710938,117810000,18145.710938
2016-10-20,18161.869141,18249.050781,18129.070312,18162.349609,88830000,18162.349609
2016-10-19,18178.210938,18252.199219,18169.25,18202.619141,88040000,18202.619141
2016-10-18,18145.060547,18225.800781,18129.449219,18161.939453,74600000,18161.939453
