DATE,GOLDAMGBD228NLBM
1968-04-01,38.000
1968-04-02,37.600
1968-04-03,37.700
1968-04-04,36.700
1968-04-05,37.200
1968-04-08,37.000
1968-04-09,37.250
1968-04-10,37.600
1968-04-11,38.050
1968-04-12,.
1968-04-15,.
1968-04-16,38.100
1968-04-17,38.000
1968-04-18,37.600
1968-04-19,37.650
1968-04-22,38.300
1968-04-23,38.050
1968-04-24,38.350
1968-04-25,38.250
1968-04-26,38.500
1968-04-29,38.550
1968-04-30,39.100
1968-05-01,39.100
1968-05-02,39.250
1968-05-03,39.600
1968-05-06,39.700
1968-05-07,39.300
1968-05-08,39.500
1968-05-09,39.700
1968-05-10,39.800
1968-05-13,39.400
1968-05-14,39.600
1968-05-15,40.100
1968-05-16,40.850
1968-05-17,41.600
1968-05-20,42.000
1968-05-21,42.600
1968-05-22,42.200
1968-05-23,41.500
1968-05-24,41.750
1968-05-27,41.500
1968-05-28,41.600
1968-05-29,41.500
1968-05-30,41.750
1968-05-31,42.000
1968-06-03,.
1968-06-04,41.200
1968-06-05,41.400
1968-06-06,41.250
1968-06-07,41.200
1968-06-10,41.350
1968-06-11,41.300
1968-06-12,42.100
1968-06-13,41.400
1968-06-14,40.200
1968-06-17,40.900
1968-06-18,40.700
1968-06-19,41.400
1968-06-20,41.050
1968-06-21,41.050
1968-06-24,41.050
1968-06-25,40.850
1968-06-26,40.950
1968-06-27,40.800
1968-06-28,40.950
1968-07-01,40.900
1968-07-02,40.850
1968-07-03,40.900
1968-07-04,41.050
1968-07-05,41.100
1968-07-08,40.950
1968-07-09,40.600
1968-07-10,40.150
1968-07-11,39.400
1968-07-12,39.100
1968-07-15,39.150
1968-07-16,38.900
1968-07-17,37.800
1968-07-18,38.000
1968-07-19,39.100
1968-07-22,38.650
1968-07-23,38.650
1968-07-24,39.200
1968-07-25,39.100
1968-07-26,38.750
1968-07-29,38.900
1968-07-30,39.100
1968-07-31,38.900
1968-08-01,38.800
1968-08-02,38.800
1968-08-05,38.850
1968-08-06,38.850
1968-08-07,38.800
1968-08-08,38.550
1968-08-09,38.450
1968-08-12,38.600
1968-08-13,38.750
1968-08-14,38.950
1968-08-15,39.000
1968-08-16,39.100
1968-08-19,39.150
1968-08-20,39.350
1968-08-21,40.300
1968-08-22,39.650
1968-08-23,39.650
1968-08-26,39.400
1968-08-27,39.550
1968-08-28,39.550
1968-08-29,39.800
1968-08-30,39.850
1968-09-02,.
1968-09-03,39.975
1968-09-04,39.900
1968-09-05,39.950
1968-09-06,40.000
1968-09-09,40.000
1968-09-10,40.000
1968-09-11,40.000
1968-09-12,40.050
1968-09-13,40.175
1968-09-16,40.200
1968-09-17,40.550
1968-09-18,40.450
1968-09-19,40.525
1968-09-20,40.500
1968-09-23,40.425
1968-09-24,40.475
1968-09-25,40.425
1968-09-26,40.450
1968-09-27,40.300
1968-09-30,39.700
1968-10-01,39.600
1968-10-02,38.300
1968-10-03,39.000
1968-10-04,38.900
1968-10-07,39.800
1968-10-08,39.750
1968-10-09,39.200
1968-10-10,38.825
1968-10-11,39.200
1968-10-14,39.300
1968-10-15,39.200
1968-10-16,38.950
1968-10-17,39.200
1968-10-18,39.400
1968-10-21,39.100
1968-10-22,38.950
1968-10-23,39.175
1968-10-24,39.200
1968-10-25,39.300
1968-10-28,39.375
1968-10-29,39.600
1968-10-30,39.300
1968-10-31,39.200
1968-11-01,38.900
1968-11-04,39.250
1968-11-05,39.325
1968-11-06,39.500
1968-11-07,39.525
1968-11-08,39.400
1968-11-11,39.500
1968-11-12,39.725
1968-11-13,39.750
1968-11-14,39.750
1968-11-15,40.000
1968-11-18,40.000
1968-11-19,40.050
1968-11-20,40.750
1968-11-21,40.250
1968-11-22,40.200
1968-11-25,40.300
1968-11-26,40.075
